[0.000000] (-) TimerEvent: {}
[0.000144] (two_wheeled_robot) JobQueued: {'identifier': 'two_wheeled_robot', 'dependencies': OrderedDict()}
[0.232559] (two_wheeled_robot) StdoutLine: {'line': b'writing top-level names to two_wheeled_robot.egg-info/top_level.txt\n'}
[0.234211] (two_wheeled_robot) StdoutLine: {'line': b"reading manifest file 'two_wheeled_robot.egg-info/SOURCES.txt'\n"}
[0.234587] (two_wheeled_robot) StdoutLine: {'line': b"writing manifest file 'two_wheeled_robot.egg-info/SOURCES.txt'\n"}
[0.250158] (two_wheeled_robot) StdoutLine: {'line': b'Built target ament_cmake_python_build_two_wheeled_robot_egg\n'}
[0.257078] (two_wheeled_robot) CommandEnded: {'returncode': 0}
[0.287834] (two_wheeled_robot) JobProgress: {'identifier': 'two_wheeled_robot', 'progress': 'install'}
[0.299869] (-) TimerEvent: {}
[0.312243] (two_wheeled_robot) Command: {'cmd': ['/home/botcanh/.local/bin/cmake', '--install', '/home/botcanh/dev_ws/src/two_wheeled_robot/build/two_wheeled_robot'], 'cwd': '/home/botcanh/dev_ws/src/two_wheeled_robot/build/two_wheeled_robot', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('USER', 'botcanh'), ('LC_TIME', 'vi_VN'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/botcanh'), ('OLDPWD', '/home/botcanh/dev_ws'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'vi_VN'), ('SYSTEMD_EXEC_PID', '18594'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('COLCON_PREFIX_PATH', '/home/botcanh/dev_ws/install'), ('ROS_DISTRO', 'humble'), ('GTK_IM_MODULE', 'ibus'), ('LOGNAME', 'botcanh'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'botcanh'), ('TERM', 'xterm-256color'), ('GAZEBO_MODEL_PATH', '/home/botcanh/ROS2-Path-Planning-and-Maze-Solving/path_planning_ws/src/maze_bot/models:'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('WINDOWPATH', '2'), ('PATH', '/opt/ros/humble/bin:/home/botcanh/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin'), ('SESSION_MANAGER', 'local/botcanh-pc:@/tmp/.ICE-unix/2119,unix/botcanh-pc:/tmp/.ICE-unix/2119'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'vi_VN'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/b679312b_c53b_4ffe_b59c_24724a68e07f'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':1'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('LC_TELEPHONE', 'vi_VN'), ('RMW_IMPLEMENTATION', 'rmw_cyclonedds_cpp'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('GNOME_TERMINAL_SERVICE', ':1.178'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('ROS_DOMAIN_ID', '30'), ('AMENT_PREFIX_PATH', '/home/botcanh/dev_ws/install/two_wheeled_robot:/home/botcanh/dev_ws/install/reinforcement_learning:/opt/ros/humble'), ('SHELL', '/bin/bash'), ('LC_NAME', 'vi_VN'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'vi_VN'), ('GPG_AGENT_INFO', '/run/user/1000/gnupg/S.gpg-agent:0:1'), ('LC_IDENTIFICATION', 'vi_VN'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/botcanh/dev_ws/src/two_wheeled_robot/build/two_wheeled_robot'), ('TURTLEBOT3_MODEL', 'burger'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/share/gnome:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/botcanh/dev_ws/install/two_wheeled_robot/local/lib/python3.10/dist-packages:/home/botcanh/dev_ws/install/reinforcement_learning/lib/python3.10/site-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('LC_NUMERIC', 'vi_VN'), ('LC_PAPER', 'vi_VN'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/botcanh/dev_ws/install/two_wheeled_robot:/home/botcanh/dev_ws/install/reinforcement_learning:/opt/ros/humble')]), 'shell': False}
[0.329707] (two_wheeled_robot) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.329959] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/config\n'}
[0.330063] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/include\n'}
[0.330121] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/include/two_wheeled_robot\n'}
[0.330194] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/launch\n'}
[0.330265] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/launch/launch_urdf_into_gazebo.launch.py\n'}
[0.330318] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/launch/test.launch.py\n'}
[0.330386] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/maps\n'}
[0.330428] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/meshes\n'}
[0.330468] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/meshes/robot_base.stl\n'}
[0.330520] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models\n'}
[0.330572] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/recycle_bin_red\n'}
[0.330783] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/recycle_bin_red/model.sdf\n'}
[0.330929] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/recycle_bin_red/model.config\n'}
[0.331046] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/recycle_bin_red/meshes\n'}
[0.331159] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/recycle_bin_red/meshes/recycle.stl\n'}
[0.331260] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2\n'}
[0.331365] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/model.sdf\n'}
[0.331469] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/model.config\n'}
[0.331573] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/materials\n'}
[0.331688] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/materials/textures\n'}
[0.331793] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/materials/textures/aqua_screen.jpg\n'}
[0.331898] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/materials/scripts\n'}
[0.331993] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/materials/scripts/monitor_screen_2.material\n'}
[0.332098] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/meshes\n'}
[0.332192] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/meshes/screen1.dae\n'}
[0.332285] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/meshes/monitor.dae\n'}
[0.332389] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/monitor_2/meshes/frame.dae\n'}
[0.332486] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/Box_24x15M\n'}
[0.332594] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/Box_24x15M/model.sdf\n'}
[0.332687] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/Box_24x15M/model.config\n'}
[0.332790] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2\n'}
[0.332885] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/model.sdf\n'}
[0.332990] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/model.config\n'}
[0.333097] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials\n'}
[0.333344] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/textures\n'}
[0.333455] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/textures/hair_4.jpg\n'}
[0.333550] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/textures/hair_3.jpg\n'}
[0.333656] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/textures/skin_1.jpg\n'}
[0.333764] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/textures/hair_2.jpg\n'}
[0.333860] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/textures/hair_1.jpg\n'}
[0.333965] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/textures/skin_2.jpg\n'}
[0.334073] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/textures/skin_3.jpg\n'}
[0.334171] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/textures/skin_4.jpg\n'}
[0.334280] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/scripts\n'}
[0.334385] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/scripts/skin_m_2.material\n'}
[0.334488] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/materials/scripts/hair_m_2.material\n'}
[0.334610] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/meshes\n'}
[0.334708] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/meshes/pants.dae\n'}
[0.334814] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/meshes/eyebrows.dae\n'}
[0.334926] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/meshes/skin.dae\n'}
[0.335028] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/meshes/pupil.dae\n'}
[0.335134] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/meshes/eye_eyebrow.dae\n'}
[0.335234] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/meshes/model.dae\n'}
[0.335341] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/botcanh/dev_ws/src/two_wheeled_robot/install/two_wheeled_robot/share/two_wheeled_robot/models/human_male_2/meshes/hair.dae\n'}
